"seq1","seq2","percent_sim","sim_group","sim_group2"
"9154","11290",15.6626506024096,"(0-20]","(10-20]"
"3073-11","65382",16.1016949152542,"(0-20]","(10-20]"
"2003","7297",15.5844155844156,"(0-20]","(10-20]"
"4216","28099",18.3673469387755,"(0-20]","(10-20]"
"9630","91086",17.1875,"(0-20]","(10-20]"
"12227","36610-3",18.1818181818182,"(0-20]","(10-20]"
"970-3","15983",17.3553719008264,"(0-20]","(10-20]"
"12459-7","66706",12.5874125874126,"(0-20]","(10-20]"
"1544-1","49941",20.2797202797203,"(20-40]","(20-30]"
"9419","44027",22.5,"(20-40]","(20-30]"
"8366","36808",21.2121212121212,"(20-40]","(20-30]"
"6662","43640",21.5384615384615,"(20-40]","(20-30]"
"10700","61894",27.027027027027,"(20-40]","(20-30]"
"12246","89532",23.0769230769231,"(20-40]","(20-30]"
"10097","61894",25.974025974026,"(20-40]","(20-30]"
"1041","69183",20.4081632653061,"(20-40]","(20-30]"
"7196","49418",21.0526315789474,"(20-40]","(20-30]"
"5670","36119",24.5283018867925,"(20-40]","(20-30]"
"2292","91050-3",23.6111111111111,"(20-40]","(20-30]"
"11325","65392",26.8292682926829,"(20-40]","(20-30]"
"5520","21634",20.7792207792208,"(20-40]","(20-30]"
"10892-1","85087",25.9541984732824,"(20-40]","(20-30]"
"914","67519",22.3880597014925,"(20-40]","(20-30]"
"8300","33748-3",23.021582733813,"(20-40]","(20-30]"
"13865","32720",22.9166666666667,"(20-40]","(20-30]"
"11313","42924",24.5901639344262,"(20-40]","(20-30]"
"7537-1","62480-1",21.2328767123288,"(20-40]","(20-30]"
"3035-3","28163-5",25.531914893617,"(20-40]","(20-30]"
"3015-2","12272",22.6415094339623,"(20-40]","(20-30]"
"655","73798",20.8333333333333,"(20-40]","(20-30]"
"2311","28992",26.3157894736842,"(20-40]","(20-30]"
"8369","42314",20.5882352941176,"(20-40]","(20-30]"
"4491","17657-13",20.7317073170732,"(20-40]","(20-30]"
"10463","56797",34,"(20-40]","(30-40]"
"12428","71068",38.2978723404255,"(20-40]","(30-40]"
"9007","58289",31.9444444444444,"(20-40]","(30-40]"
"14067","40079",30.952380952381,"(20-40]","(30-40]"
"4798","56832",31.5068493150685,"(20-40]","(30-40]"
"4756","62990",30.2325581395349,"(20-40]","(30-40]"
"7113","30169",33.3333333333333,"(20-40]","(30-40]"
"6935","85426",31.3725490196078,"(20-40]","(30-40]"
"1381","47319",30.952380952381,"(20-40]","(30-40]"
"13649","65933",30.2325581395349,"(20-40]","(30-40]"
"13555","23963",32.6923076923077,"(20-40]","(30-40]"
"6173","64213",30.2325581395349,"(20-40]","(30-40]"
"2802","42218",31.6666666666667,"(20-40]","(30-40]"
"7381","25416",30.7692307692308,"(20-40]","(30-40]"
"6399","90636",33.3333333333333,"(20-40]","(30-40]"
"7131","67820",30.188679245283,"(20-40]","(30-40]"
"11453","56276",31.8181818181818,"(20-40]","(30-40]"
"5266","52528",32.4324324324324,"(20-40]","(30-40]"
"4866-1","57920",31.25,"(20-40]","(30-40]"
"5964-25","23193",30.7692307692308,"(20-40]","(30-40]"
"9978","69300",31.1475409836066,"(20-40]","(30-40]"
"6187","27139",30.4347826086957,"(20-40]","(30-40]"
"7196","14603",32.2033898305085,"(20-40]","(30-40]"
"9014","27190",31.7073170731707,"(20-40]","(30-40]"
"11941","46337",30.7692307692308,"(20-40]","(30-40]"
"12334","37197",41.1764705882353,"(40-60]","(40-50]"
"10780","56939",40.5405405405405,"(40-60]","(40-50]"
"10166","87178",41.8604651162791,"(40-60]","(40-50]"
"6970","46591",41.025641025641,"(40-60]","(40-50]"
"10343","30873",42.8571428571429,"(40-60]","(40-50]"
"10182","15887",40.5405405405405,"(40-60]","(40-50]"
"12663","26827",40.8163265306122,"(40-60]","(40-50]"
"9070","31779",40.4761904761905,"(40-60]","(40-50]"
"6412","9024",40.5405405405405,"(40-60]","(40-50]"
"13707","61998",40.4761904761905,"(40-60]","(40-50]"
"5177","9024",41.8604651162791,"(40-60]","(40-50]"
"7908","77698",40.7407407407407,"(40-60]","(40-50]"
"7693","21350",40.9090909090909,"(40-60]","(40-50]"
"2161","42863",45.3125,"(40-60]","(40-50]"
"7693","41925",42.1052631578947,"(40-60]","(40-50]"
"9827","23014",41.6666666666667,"(40-60]","(40-50]"
"8988","57619",41.4634146341463,"(40-60]","(40-50]"
"10403","18357",42.2222222222222,"(40-60]","(40-50]"
"1123","46591",40.4761904761905,"(40-60]","(40-50]"
"8899","45207",40.5405405405405,"(40-60]","(40-50]"
"8313","49823",41.5384615384615,"(40-60]","(40-50]"
"7863","76324",41.304347826087,"(40-60]","(40-50]"
"6726","72946",45.6521739130435,"(40-60]","(40-50]"
"11338","83037",41.025641025641,"(40-60]","(40-50]"
"11870","20191",41.025641025641,"(40-60]","(40-50]"
"6221","51456",59.1836734693878,"(40-60]","(50-60]"
"13311-18","57278-16",57.7777777777778,"(40-60]","(50-60]"
"6221","61877",54.1666666666667,"(40-60]","(50-60]"
"13958-4","52366-4",55.2631578947368,"(40-60]","(50-60]"
"13588","51477",59.5238095238095,"(40-60]","(50-60]"
"5579-9","59450-5",57.8231292517007,"(40-60]","(50-60]"
"1506-5","44090-5",51.063829787234,"(40-60]","(50-60]"
"8319-7","69540-13",55.6338028169014,"(40-60]","(50-60]"
"13968-3","66838",51.4925373134328,"(40-60]","(50-60]"
"4031","21947",52.5,"(40-60]","(50-60]"
"1917","37886-3",57.1428571428571,"(40-60]","(50-60]"
"2333","44649",59.1240875912409,"(40-60]","(50-60]"
"10085","58926",54.2372881355932,"(40-60]","(50-60]"
"6435-4","39705-5",51.7241379310345,"(40-60]","(50-60]"
"7130-14","34377-13",57.6642335766423,"(40-60]","(50-60]"
"219-15","25664-16",54.3859649122807,"(40-60]","(50-60]"
"9466","32027",52.8301886792453,"(40-60]","(50-60]"
"6870","47571",58.695652173913,"(40-60]","(50-60]"
"4782-4","20754-5",50.4950495049505,"(40-60]","(50-60]"
"6111-8","19795-8",52,"(40-60]","(50-60]"
"13641-3","47787-3",51.3888888888889,"(40-60]","(50-60]"
"5548-6","28353-5",56.0975609756098,"(40-60]","(50-60]"
"9774","24323",54.1666666666667,"(40-60]","(50-60]"
"6870","17183",52.6881720430108,"(40-60]","(50-60]"
"6221","41138",50.9433962264151,"(40-60]","(50-60]"
"4784","18747",63.265306122449,"(60-80]","(60-70]"
"13317","22993",62.1621621621622,"(60-80]","(60-70]"
"12116-7","59257-10",60.952380952381,"(60-80]","(60-70]"
"1935","48708",61.9047619047619,"(60-80]","(60-70]"
"8562","9787",61.0169491525424,"(60-80]","(60-70]"
"13317","14588",67.5,"(60-80]","(60-70]"
"5","83153",60.4166666666667,"(60-80]","(60-70]"
"11358-33","47773-32",67.6258992805755,"(60-80]","(60-70]"
"9774","45723",64.5833333333333,"(60-80]","(60-70]"
"8319-7","76260-3",64.963503649635,"(60-80]","(60-70]"
"13619","29770",63.1578947368421,"(60-80]","(60-70]"
"219-15","19514-13",66.9565217391304,"(60-80]","(60-70]"
"3300","81739",68.5714285714286,"(60-80]","(60-70]"
"14070","35701",67.8571428571429,"(60-80]","(60-70]"
"5579-9","70079-6",62.3287671232877,"(60-80]","(60-70]"
"4235","58111",62.2950819672131,"(60-80]","(60-70]"
"1921","38396",64.1509433962264,"(60-80]","(60-70]"
"13619","76856",65.7142857142857,"(60-80]","(60-70]"
"8397-5","14922-6",60.1503759398496,"(60-80]","(60-70]"
"3300","51599",67.1428571428571,"(60-80]","(60-70]"
"4228-3","20356-4",61.744966442953,"(60-80]","(60-70]"
"4445-17","4447-24",60.5263157894737,"(60-80]","(60-70]"
"4136-15","67057-13",62.5,"(60-80]","(60-70]"
"3958-6","39775-7",63.448275862069,"(60-80]","(60-70]"
"521","75127",66.6666666666667,"(60-80]","(60-70]"
"1269-12","73801-10",92.5925925925926,"(80-100]","(90-100]"
"1473","83190",100,"(80-100]","(90-100]"
"1476","2864",73.9130434782609,"(60-80]","(70-80]"
"3300","44720",82.6086956521739,"(80-100]","(80-90]"
"5585","83356",97.4358974358974,"(80-100]","(90-100]"
"5785-1","24469-1",92.6229508196721,"(80-100]","(90-100]"
"6421-11","41597-12",82.6086956521739,"(80-100]","(80-90]"
"6421-11","50030-12",84.1726618705036,"(80-100]","(80-90]"
"7079","74586",72.8571428571428,"(60-80]","(70-80]"
"10231","46834",75.6756756756757,"(60-80]","(70-80]"
"11358-33","37522-35",70.2702702702703,"(60-80]","(70-80]"
"11358-33","79045-33",71.9424460431655,"(60-80]","(70-80]"
"11419-14","48936-16",71.7391304347826,"(60-80]","(70-80]"
"11719","46649",72.5,"(60-80]","(70-80]"
"11719","71631",86.4864864864865,"(80-100]","(80-90]"
"11719","91071",74.3589743589744,"(60-80]","(70-80]"
"12820","67391",74.5454545454545,"(60-80]","(70-80]"
"13156","86455",91.6666666666667,"(80-100]","(90-100]"
"13316","22411",100,"(80-100]","(90-100]"
